,postalCode,addressRegion,streetAddress,NA,bed,bath,sqft,price_per_sqrt,CND,NA,lot_size,built,on_site,NA,price,link,HOA,img,City,Region,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7,imgs_to_train
10,94102,CA,300 Ivy Street #126,,3.0,2.0,1596.0,1432.0,TWN,,,2014.0,41,,2285000,https://www.ziprealty.com/property/300-Ivy-St-_UNIT_126-San-Francisco-CA-94102/87694292/detail,727.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/443493_180.jpg,SF,Hayes Valley,94102.0,San Francisco,California,CA,San Francisco,37.7813,-122.4167,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/93/_P/443493_P20.jpg']"
11,94102,CA,1884-1886 Market Street,,,,4470.0,893.0,MFR,,2587.0,1932.0,56,,3990000,https://www.ziprealty.com/property/1884-Market-St-_UNIT_1886-San-Francisco-CA-94102/87637122/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/442950_180.jpg,SF,Hayes Valley,94102.0,San Francisco,California,CA,San Francisco,37.7813,-122.4167,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/29/50/_P/442950_P20.jpg']"
12,94103,CA,30 Dore Street,,,,38618.0,842.0,MFR,,8500.0,2007.0,2,,32500000,https://www.ziprealty.com/property/30-Dore-St-San-Francisco-CA-94103/87953797/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/444964_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/49/64/_P/444964_P20.jpg']"
13,94103,CA,114 Russ Street,,4.0,3.0,1650.0,1030.0,CND,,1921.0,1908.0,5,,1700000,https://www.ziprealty.com/property/114-RUSS-ST-SAN-FRANCISCO-CA-94103/87723041/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577789_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/89/_P/81577789_P20.jpg']"
14,94103,CA,1160 Mission Street #1205,,1.0,1.0,664.0,1054.0,CND,,43556.0,2008.0,5,,699950,https://www.ziprealty.com/property/1160-MISSION-ST-_UNIT_1205-SAN-FRANCISCO-CA-94103/10632998/detail,608.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/81581222_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/12/22/_P/81581222_P20.jpg']"
15,94103,CA,112a Russ Street,,2.0,2.0,788.0,1142.0,CND,,1921.0,1908.0,5,,900000,https://www.ziprealty.com/property/112A-Russ-St-San-Francisco-CA-94103/87944641/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577788_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/88/_P/81577788_P20.jpg']"
16,94103,CA,112 Russ Street,,2.0,2.0,840.0,1167.0,CND,,1921.0,1908.0,5,,980000,https://www.ziprealty.com/property/112-RUSS-ST-SAN-FRANCISCO-CA-94103/87723043/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/81577787_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/57/77/87/_P/81577787_P20.jpg']"
17,94103,CA,574 Natoma Street #101,,,1.0,303.0,1617.0,CND,,,2012.0,5,,490000,https://www.ziprealty.com/property/574-NATOMA-ST-_UNIT_101-SAN-FRANCISCO-CA-94103/82840250/detail,280.0,https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/81580824_180.jpg,SF,Other,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CAREIL/81/58/08/24/_P/81580824_P20.jpg']"
18,94103,CA,140 South Van Ness Avenue #1147,,2.0,1.0,1115.0,761.0,CND,,,2002.0,5,,849000,https://www.ziprealty.com/property/140-S-VAN-NESS-AVE-_UNIT_1147-SAN-FRANCISCO-CA-94103/79336530/detail,510.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/445012_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/50/12/_P/445012_P20.jpg']"
19,94103,CA,360 Guerrero Street #202,,2.0,1.0,964.0,829.0,CND,,,1983.0,6,,799000,https://www.ziprealty.com/property/360-GUERRERO-ST-_UNIT_202-SAN-FRANCISCO-CA-94103/10628102/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/444195_180.jpg,SF,Mission Dolores,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/41/95/_P/444195_P20.jpg']"
20,94103,CA,23 Boardman Place,,,,4450.0,582.0,MFR,,2935.0,1907.0,6,,2590000,https://www.ziprealty.com/property/23-BOARDMAN-PL-SAN-FRANCISCO-CA-94103/10638968/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/444809_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,"[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P01.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P02.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P03.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P04.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P05.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P06.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P07.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P08.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P09.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P11.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P12.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P13.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P14.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P15.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P16.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P17.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P18.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P19.jpg', u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/48/09/_P/444809_P20.jpg']"
